meetobject.namespace	Meetobject.lokaalID	Meetobject.omschrijving	GeometriePunt.X	GeometriePunt.Y	ResultaatDatum	Begindatum	Begintijd	Einddatum	Eindtijd	WNS.nummer	Typering.code	Grootheid.code	Parameter.code	Parameter.groep	Biotaxon.naam	Eenheid.code	Hoedanigheid.code	AnalyseCompartiment.code	Levensstadium.code	Lengteklasse.code	Geslacht.code	Verschijningsvorm.code	Levensvorm.code	Gedrag.code	Wardebewerkingsmethde.code	Waardebepalingsmethode.code	Limietsymbool	Numeriekewaarde	Alfanumeriekewaarde	Kwaliteitsoordeel.code
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS1147		CONCTTE	Hg	ChemischeStof		ug/l	NVT	OW									<	0.01		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS1415		CONCTTE	Ni	ChemischeStof		ug/l	NVT	OW										2		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS1471		CONCTTE	Pb	ChemischeStof		ug/l	NVT	OW									<	5		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS1745		CONCTTE	sNO3NO2	ChemischeStof		mg/l	N	OW										9.1		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2209		CONCTTE	Zn	ChemischeStof		ug/l	NVT	OW									<	5		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										285		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2323		CONCTTE	NKj	ChemischeStof		mg/l	N	OW										2.56		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2336		CONCTTE	NH4	ChemischeStof		mg/l	N	OW										0.77		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2341		CONCTTE	NO2	ChemischeStof		mg/l	N	OW										0.11		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2343		CONCTTE	NO3	ChemischeStof		mg/l	N	OW										8.9		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2354		CONCTTE	Ptot	ChemischeStof		mg/l	P	OW										0.12		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2363		CONCTTE	PO4	ChemischeStof		mg/l	P	OW										0.03		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS2440		CONCTTE	OS	Object		mg/l	NVT	OW										7		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										247		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.5		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										247		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS3838		T		Grootheid		oC	INSU	OW										8.2		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										76		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										8.8		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										100		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS476		CONCTTE	As	ChemischeStof		ug/l	NVT	OW										2		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										570		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS6064		VOLMFTE	GR	Object		%	NVT	OW										93		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS649		CONCTTE	Cd	ChemischeStof		ug/l	NVT	OW									<	0.1		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										10		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS718		CONCTTE	Cr	ChemischeStof		ug/l	NVT	OW										1		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS742		CONCTTE	Cu	ChemischeStof		ug/l	NVT	OW										2		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										170		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										143		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.3		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										143		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS3838		T		Grootheid		oC	INSU	OW										5.3		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										60		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										7.4		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										60		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										2000		0
NL37	21AN-119-01	"HERTENTOCHT, duiker Mammouthweg (NP058)"	186891	521858	12/01/2004	12/01/2004	11:15:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										80		0
NL37	21BN-030-01	"PAARDENTOCHT, Kraggenburgerweg (NP062)"	190137	519776	12/01/2004	12/01/2004	11:30:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										235		0
